,movie_id,imdb_score,release_day,release_year,duration_mins,budget,aspect_ratio,number_news_articles,director_facebook_likes,actor_1_facebook_likes,actor_1_star_meter,actor_2_facebook_likes,cast_total_facebook_likes,number_of_faces_in_movie_poster,movie_budget,movie_facebook_likes,action,adventure,scifi,thriller,musical,romance,western,sport,horror,drama,war,animation,crime,sum_total_likes,ratio_movie_cast_likes,movie_meter_IMDB_pro,number_of_votes
movie_id,1,-0.113930024,-0.030494927,-0.025077859,-0.11702608,-0.134301189,-0.049376383,-0.113330528,-0.041069263,-0.059043055,0.024564568,-0.06166678,-0.073881428,-0.020152178,-0.108998457,-0.024204551,-0.02807337,-0.041890035,-0.07162878,-0.036586501,-0.012135207,0.012450106,-0.015073226,-0.036935946,0.073602743,-0.012368672,0.013825899,0.047714604,-0.0294885,-0.073930356,-0.015100014,0.032832195,-0.174301146
imdb_score,-0.113930024,1,0.003279514,-0.186210803,0.334924544,0.040312805,0.018578276,0.224939032,0.204640303,0.069614205,0.024139239,0.09005119,0.086365303,-0.033287726,0.033313445,-0.015805668,-0.040779399,-0.006970806,-0.049320524,-0.075779252,-0.021612672,-0.020103416,0.039748114,0.035752722,-0.169084066,0.297928267,0.107951087,0.039487155,0.05781254,0.115722671,0.029781657,-0.070630048,0.462236879
release_day,-0.030494927,0.003279514,1,-0.008168576,0.015040284,-0.024315156,0.00398872,-0.021039171,0.012080781,-0.028303102,0.0061665,0.020017038,-0.019421427,-0.004478606,-0.028600557,-0.006331265,-0.008472424,-0.00520103,-0.012102649,-0.016001697,-0.016671431,-0.004541315,0.018561485,0.004674027,-0.009385642,0.003326348,0.006488601,0.01249578,-0.010750839,-0.016931072,-0.02308851,0.027986721,-0.00539534
release_year,-0.025077859,-0.186210803,-0.008168576,1,-0.146640274,0.224233585,0.110908827,0.117441894,-0.07155794,0.087952023,-0.004360595,0.111745642,0.114433756,0.000407437,0.180893689,0.006774795,-0.005063962,-0.037449403,-0.010310843,0.049877442,-0.055182541,-0.017794747,-0.085823821,0.0079289,-0.022317377,0.004542805,-0.092524288,0.06701649,0.012480079,0.096513175,0.027383541,0.056815398,0.017837117
duration_mins,-0.11702608,0.334924544,0.015040284,-0.146640274,1,0.281749093,-0.076257809,0.192595335,0.181982294,0.073906939,-0.040796268,0.135501661,0.114970828,-0.009359541,0.269475204,-0.00092655,-0.00339817,0.083148703,0.001179418,-0.007654314,-0.00527446,0.017855129,0.090064872,0.021871139,-0.1569478,0.254959223,0.184875618,-0.150646414,0.01761679,0.13224492,-0.016302624,-0.082403752,0.323315679
budget,-0.134301189,0.040312805,-0.024315156,0.224233585,0.281749093,1,0.056625551,0.376942448,0.094114444,0.143892678,-0.054021858,0.242680843,0.223509672,0.004780911,0.902896361,0.018301607,0.044520623,0.456390934,0.233402873,0.047604196,-0.064363257,-0.088389646,-0.004847658,-0.028500695,-0.134870222,-0.210071762,0.008700089,0.219066547,-0.064492221,0.213892246,-0.000647148,-0.137824902,0.4076969
aspect_ratio,-0.049376383,0.018578276,0.00398872,0.110908827,-0.076257809,0.056625551,1,0.026633457,0.00827022,-0.004180901,-0.011188688,0.00769531,-0.000650865,0.003704224,0.057033714,0.005044781,0.011432106,0.017198764,0.008859762,0.074340452,-0.031613459,-0.045223778,0.003392304,-0.011905572,0.002704992,0.027856695,0.001200327,-0.031501163,0.056090847,-0.001946455,0.006568264,0.010554791,0.020195981
number_news_articles,-0.113330528,0.224939032,-0.021039171,0.117441894,0.192595335,0.376942448,0.026633457,1,0.158954837,0.12470815,-0.027245731,0.234100851,0.208317161,-0.006223329,0.332139061,0.015078921,0.013073714,0.206968501,0.205902471,-0.017508958,-0.038964536,-0.057376498,-0.014975058,-0.036339224,-0.019451026,-0.084976957,-0.024405122,-0.005561945,-0.05053056,0.207854259,0.014582261,-0.0827726,0.574851743
director_facebook_likes,-0.041069263,0.204640303,0.012080781,-0.07155794,0.181982294,0.094114444,0.00827022,0.158954837,1,0.085529184,-0.017698827,0.11452365,0.115214023,-0.003527762,0.08654195,0.006576291,-0.000728726,0.002257764,-0.010591823,0.025171813,-0.036615408,-0.039734342,0.023451386,0.015484554,-0.072595444,0.044002321,0.03098311,-0.044292123,0.039797682,0.262430175,-0.016460094,-0.015401318,0.300692735
actor_1_facebook_likes,-0.059043055,0.069614205,-0.028303102,0.087952023,0.073906939,0.143892678,-0.004180901,0.12470815,0.085529184,1,-0.035505003,0.376896079,0.950293694,-0.00352596,0.124838498,-0.002805272,-0.002521242,0.031722597,0.000473357,0.055733888,-0.050732078,-0.022383659,0.00475828,-0.006025162,-0.042367941,0.010370411,-0.004289475,0.003067751,0.036369499,0.947321048,-0.038466299,-0.038697063,0.164171251
actor_1_star_meter,0.024564568,0.024139239,0.0061665,-0.004360595,-0.040796268,-0.054021858,-0.011188688,-0.027245731,-0.017698827,-0.035505003,1,-0.033709993,-0.042574553,-0.001658061,-0.047711608,-0.001542942,-0.003467707,-0.021201606,-0.027016824,-0.028200419,0.003733455,-0.001949532,0.04041429,-0.009194521,-0.015231211,0.003152913,-0.000233612,-0.014395853,-0.01089425,-0.04229295,0.027005659,0.030186024,-0.036355133
actor_2_facebook_likes,-0.06166678,0.09005119,0.020017038,0.111745642,0.135501661,0.242680843,0.00769531,0.234100851,0.11452365,0.376896079,-0.033709993,1,0.619612213,-0.002614149,0.21498592,0.003746575,0.000182635,0.087880619,0.027227198,0.017633405,-0.036280959,-0.01300467,0.025194983,-0.014884437,-0.057937321,0.008614115,0.007265766,0.009613056,0.016639927,0.604638358,-0.033024957,-0.045643771,0.243974429
cast_total_facebook_likes,-0.073881428,0.086365303,-0.019421427,0.114433756,0.114970828,0.223509672,-0.000650865,0.208317161,0.115214023,0.950293694,-0.042574553,0.619612213,1,0.003198676,0.1959253,0.006271972,0.005337327,0.065573225,0.01425939,0.050270938,-0.0570251,-0.023059465,0.00690769,-0.01003544,-0.058224961,0.001942433,-0.002974178,0.005275525,0.030836808,0.986222205,-0.038891416,-0.050936844,0.235003854
number_of_faces_in_movie_poster,-0.020152178,-0.033287726,-0.004478606,0.000407437,-0.009359541,0.004780911,0.003704224,-0.006223329,-0.003527762,-0.00352596,-0.001658061,-0.002614149,0.003198676,1,-0.015306804,0.997156017,0.99130756,-0.011298842,-0.011344937,-0.017207031,0.069382567,-0.006671153,-0.004115673,-0.004220363,-0.013918729,0.015159118,0.085786044,-0.008815512,-0.008137316,-0.005597742,0.851200971,-0.00400027,-0.01232474
movie_budget,-0.108998457,0.033313445,-0.028600557,0.180893689,0.269475204,0.902896361,0.057033714,0.332139061,0.08654195,0.124838498,-0.047711608,0.21498592,0.1959253,-0.015306804,1,-0.00264191,0.023690578,0.424134757,0.231169792,0.0503484,-0.061349832,-0.087543361,-0.004933815,-0.031765315,-0.125211253,-0.176999217,0.003828762,0.198898149,-0.064013602,0.188279865,-0.015567549,-0.085221087,0.352594935
movie_facebook_likes,-0.024204551,-0.015805668,-0.006331265,0.006774795,-0.00092655,0.018301607,0.005044781,0.015078921,0.006576291,-0.002805272,-0.001542942,0.003746575,0.006271972,0.997156017,-0.00264191,1,0.99268444,-0.002996034,-0.000758693,-0.011170102,0.0649269,-0.012256609,-0.002051947,-0.005332578,-0.006865161,0.018022994,0.086765549,-0.00345625,-0.009851204,-0.00137433,0.857597813,-0.007152467,0.014196187
action,-0.02807337,-0.040779399,-0.008472424,-0.005063962,-0.00339817,0.044520623,0.011432106,0.013073714,-0.000728726,-0.002521242,-0.003467707,0.000182635,0.005337327,0.99130756,0.023690578,0.99268444,1,0.029724567,0.029421212,0.023808151,0.051790119,-0.032264842,0.000352659,-0.011713732,-0.012149889,-0.013613064,0.091269905,-0.006771144,0.006464333,-0.00348165,0.846400487,-0.010191291,0.006722196
adventure,-0.041890035,-0.006970806,-0.00520103,-0.037449403,0.083148703,0.456390934,0.017198764,0.206968501,0.002257764,0.031722597,-0.021201606,0.087880619,0.065573225,-0.011298842,0.424134757,-0.002996034,0.029724567,1,0.27141348,-0.016062658,-0.045527672,-0.132956589,0.063887791,-0.065870565,-0.10983996,-0.27089785,-0.010383016,0.268933882,-0.157741752,0.058193737,-0.011157831,-0.038455183,0.193552528
scifi,-0.07162878,-0.049320524,-0.012102649,-0.010310843,0.001179418,0.233402873,0.008859762,0.205902471,-0.010591823,0.000473357,-0.027016824,0.027227198,0.01425939,-0.011344937,0.231169792,-0.000758693,0.029421212,0.27141348,1,0.119715606,-0.0739168,-0.140883759,-0.03989082,-0.065850329,0.103909421,-0.23526027,-0.078225747,0.059052624,-0.149265366,0.008754496,0.003388529,-0.04596498,0.166434585
thriller,-0.036586501,-0.075779252,-0.016001697,0.049877442,-0.007654314,0.047604196,0.074340452,-0.017508958,0.025171813,0.055733888,-0.028200419,0.017633405,0.050270938,-0.017207031,0.0503484,-0.011170102,0.023808151,-0.016062658,0.119715606,1,-0.149964923,-0.223328502,-0.054735891,-0.128480693,0.159922839,-0.044269372,-0.034004035,-0.11167135,0.344507046,0.053901918,-0.024642874,0.01217684,0.015241039
musical,-0.012135207,-0.021612672,-0.016671431,-0.055182541,-0.00527446,-0.064363257,-0.031613459,-0.038964536,-0.036615408,-0.050732078,0.003733455,-0.036280959,-0.0570251,0.069382567,-0.061349832,0.0649269,0.051790119,-0.045527672,-0.0739168,-0.149964923,1,0.095882929,-0.025782121,-0.055580812,-0.063320281,0.048312875,-0.028627129,0.082713279,-0.073814417,-0.059898457,0.063528719,-0.002369402,-0.088895812
romance,0.012450106,-0.020103416,-0.004541315,-0.017794747,0.017855129,-0.088389646,-0.045223778,-0.057376498,-0.039734342,-0.022383659,-0.001949532,-0.01300467,-0.023059465,-0.006671153,-0.087543361,-0.012256609,-0.032264842,-0.132956589,-0.140883759,-0.223328502,0.095882929,1,-0.002516122,-0.036654755,-0.160418549,0.14925602,-0.014353227,-0.05264393,-0.134711801,-0.027330838,-0.015058385,-0.017096488,-0.098442655
western,-0.015073226,0.039748114,0.018561485,-0.085823821,0.090064872,-0.004847658,0.003392304,-0.014975058,0.023451386,0.00475828,0.04041429,0.025194983,0.00690769,-0.004115673,-0.004933815,-0.002051947,0.000352659,0.063887791,-0.03989082,-0.054735891,-0.025782121,-0.002516122,1,-0.027933171,-0.044707404,0.018383452,-0.002837044,0.001139134,0.002973974,0.011582956,-0.003906672,-0.006222641,-0.007983434
sport,-0.036935946,0.035752722,0.004674027,0.0079289,0.021871139,-0.028500695,-0.011905572,-0.036339224,0.015484554,-0.006025162,-0.009194521,-0.014884437,-0.01003544,-0.004220363,-0.031765315,-0.005332578,-0.011713732,-0.065870565,-0.065850329,-0.128480693,-0.055580812,-0.036654755,-0.027933171,1,-0.069865779,0.069513672,-0.034865977,-0.004865026,-0.089435238,-0.006855284,-0.016158745,-0.006792429,-0.052649713
horror,0.073602743,-0.169084066,-0.009385642,-0.022317377,-0.1569478,-0.134870222,0.002704992,-0.019451026,-0.072595444,-0.042367941,-0.015231211,-0.057937321,-0.058224961,-0.013918729,-0.125211253,-0.006865161,-0.012149889,-0.10983996,0.103909421,0.159922839,-0.063320281,-0.160418549,-0.044707404,-0.069865779,1,-0.234951291,-0.063362992,-0.05770525,-0.119426007,-0.064899045,0.006279762,0.003404811,-0.059091897
drama,-0.012368672,0.297928267,0.003326348,0.004542805,0.254959223,-0.210071762,0.027856695,-0.084976957,0.044002321,0.010370411,0.003152913,0.008614115,0.001942433,0.015159118,-0.176999217,0.018022994,-0.013613064,-0.27089785,-0.23526027,-0.044269372,0.048312875,0.14925602,0.018383452,0.069513672,-0.234951291,1,0.145209834,-0.146129923,0.075784498,0.014216551,0.011109561,0.007905509,-0.041029703
war,0.013825899,0.107951087,0.006488601,-0.092524288,0.184875618,0.008700089,0.001200327,-0.024405122,0.03098311,-0.004289475,-0.000233612,0.007265766,-0.002974178,0.085786044,0.003828762,0.086765549,0.091269905,-0.010383016,-0.078225747,-0.034004035,-0.028627129,-0.014353227,-0.002837044,-0.034865977,-0.063362992,0.145209834,1,-0.030204635,-0.079391736,0.003585897,0.087809189,-0.002334693,0.008141957
animation,0.047714604,0.039487155,0.01249578,0.06701649,-0.150646414,0.219066547,-0.031501163,-0.005561945,-0.044292123,0.003067751,-0.014395853,0.009613056,0.005275525,-0.008815512,0.198898149,-0.00345625,-0.006771144,0.268933882,0.059052624,-0.11167135,0.082713279,-0.05264393,0.001139134,-0.004865026,-0.05770525,-0.146129923,-0.030204635,1,-0.074621874,-0.001403006,7.99E-05,-0.024437407,0.034162138
crime,-0.0294885,0.05781254,-0.010750839,0.012480079,0.01761679,-0.064492221,0.056090847,-0.05053056,0.039797682,0.036369499,-0.01089425,0.016639927,0.030836808,-0.008137316,-0.064013602,-0.009851204,0.006464333,-0.157741752,-0.149265366,0.344507046,-0.073814417,-0.134711801,0.002973974,-0.089435238,-0.119426007,0.075784498,-0.079391736,-0.074621874,1,0.037232909,-0.026289398,-0.020025481,0.021642726
sum_total_likes,-0.073930356,0.115722671,-0.016931072,0.096513175,0.13224492,0.213892246,-0.001946455,0.207854259,0.262430175,0.947321048,-0.04229295,0.604638358,0.986222205,-0.005597742,0.188279865,-0.00137433,-0.00348165,0.058193737,0.008754496,0.053901918,-0.059898457,-0.027330838,0.011582956,-0.006855284,-0.064899045,0.014216551,0.003585897,-0.001403006,0.037232909,1,-0.045661823,-0.048932955,0.262842499
ratio_movie_cast_likes,-0.015100014,0.029781657,-0.02308851,0.027383541,-0.016302624,-0.000647148,0.006568264,0.014582261,-0.016460094,-0.038466299,0.027005659,-0.033024957,-0.038891416,0.851200971,-0.015567549,0.857597813,0.846400487,-0.011157831,0.003388529,-0.024642874,0.063528719,-0.015058385,-0.003906672,-0.016158745,0.006279762,0.011109561,0.087809189,7.99E-05,-0.026289398,-0.045661823,1,-0.009753028,0.018910207
movie_meter_IMDB_pro,0.032832195,-0.070630048,0.027986721,0.056815398,-0.082403752,-0.137824902,0.010554791,-0.0827726,-0.015401318,-0.038697063,0.030186024,-0.045643771,-0.050936844,-0.00400027,-0.085221087,-0.007152467,-0.010191291,-0.038455183,-0.04596498,0.01217684,-0.002369402,-0.017096488,-0.006222641,-0.006792429,0.003404811,0.007905509,-0.002334693,-0.024437407,-0.020025481,-0.048932955,-0.009753028,1,-0.171674875
number_of_votes,-0.174301146,0.462236879,-0.00539534,0.017837117,0.323315679,0.4076969,0.020195981,0.574851743,0.300692735,0.164171251,-0.036355133,0.243974429,0.235003854,-0.01232474,0.352594935,0.014196187,0.006722196,0.193552528,0.166434585,0.015241039,-0.088895812,-0.098442655,-0.007983434,-0.052649713,-0.059091897,-0.041029703,0.008141957,0.034162138,0.021642726,0.262842499,0.018910207,-0.171674875,1